ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
NE003002003,0.2984977960586548,0.3470740020275116,0.3261452512012486,0.32559001445770264,0.01528766648009616,0.0013828930677846074,0.003382836701348424,0.0026047137442979052,0.0028540855273604393,6.496125316823041E-4
NE003003001,0.22373709082603455,0.290255606174469,0.25342963319564327,0.2526823580265045,0.014341292394708993,0.001047508791089058,0.003481644904240966,0.001950143924791412,0.0018173811258748174,6.020207064645859E-4
NE003003002,0.22072863578796387,0.3158368766307831,0.2758542169521849,0.2782609462738037,0.02006913471431854,0.0010833740234375,0.0029203868471086025,0.0019728965348061608,0.0020420250948518515,5.241085471773453E-4
NE003003003,0.0,0.258943110704422,0.19927675460431415,0.21568890010825278,0.04625723390328343,0.0,0.0030713852029293776,0.001366454659992598,0.0011543023865669966,7.388644849896832E-4
NE003003004,0.25280725955963135,0.30881467461586,0.27642728853495496,0.2798406183719635,0.015169766662352932,7.899186457507312E-4,0.0029174445662647486,0.0019717552918819973,0.0020553471986204386,5.399100511971834E-4
NE003003005,0.19960828125476837,0.2895559072494507,0.23891846486716178,0.23885898292064667,0.02301207082429435,9.421798749826849E-4,0.003100902773439884,0.0017980546290236928,0.0017034221285333235,6.5010866838926E-4
NE003003006,0.0,0.24174363911151886,0.1833083020655435,0.1933211088180542,0.037961941607569764,0.0,0.00232729222625494,0.0011166246872397689,0.0011237099441662787,4.79101169853088E-4
NE003004001,0.23030181229114532,0.31198519468307495,0.2853399706441636,0.28775155544281006,0.013970136953051158,8.62141081597656E-4,0.002427061088383198,0.0015408253819773165,0.0014752948191016912,3.6742913865843636E-4
NE003004002,0.2814021408557892,0.423636257648468,0.3289508447672247,0.321707660923461,0.035271287753408084,0.001113821635954082,0.003227399429306388,0.001655451997079228,0.0014404379310610804,5.098411555935422E-4
NE003004003,0.23933900892734528,0.29737547039985657,0.2819071293847408,0.2858135402202606,0.013858799941003926,0.0010527848498895764,0.0022950980346649885,0.0016951462114361618,0.001705768401734531,3.476830917636088E-4
NE003004004,0.2696399688720703,0.38865554332733154,0.3151643378894131,0.312270849943161,0.026899169368493035,0.0010325894691050053,0.0027733261231333017,0.0012571588489862222,0.0012021938774494391,2.4974201811865584E-4
NE003004005,0.26313355565071106,0.2987978756427765,0.2817338735077683,0.2815314531326294,0.008364903191178573,0.0013892827555537224,0.0034034985583275557,0.002227582026305385,0.002087742555886507,5.683278800499239E-4
NE003004006,0.2688065767288208,0.3287932574748993,0.2942355635083471,0.2907704710960388,0.016313812183226636,0.0011303008068352938,0.0034687973093241453,0.002060466815022074,0.0019271878991276026,6.245736536657817E-4
NE003004007,0.25094109773635864,0.29143422842025757,0.267278622844044,0.2669956684112549,0.009409215133871628,0.0010094566969200969,0.003355884226039052,0.0021513085614687996,0.002114298054948449,5.455478064620515E-4
NE003004008,0.3140203356742859,0.423636257648468,0.3664617344991501,0.3662450611591339,0.024434502814590614,0.0010558638023212552,0.0037953476421535015,0.0022462141434810307,0.0022056701127439737,6.526066021354095E-4
NE003004009,0.27440157532691956,0.33425718545913696,0.30795261263348644,0.30867335200309753,0.014058120601908164,0.0010754970135167241,0.0034687973093241453,0.0018830389440744751,0.0017315071308985353,5.918550231075166E-4
NE003004010,0.2547966539859772,0.29528698325157166,0.2711793696213384,0.27232813835144043,0.009055935259131105,0.001136539038270712,0.003142639994621277,0.0021719909350569055,0.0020148647017776966,5.629676433815278E-4
NE003004011,0.2547966539859772,0.2956281900405884,0.2773607728900137,0.27701374888420105,0.009170230849617881,0.0011303008068352938,0.0035257397685199976,0.0023696043708839928,0.0023359786719083786,6.283978976573331E-4
NE003005001,0.2831571698188782,0.39298099279403687,0.32657968503400553,0.32933634519577026,0.02498728224245958,0.0,0.0025224885903298855,0.0013221706502755004,0.0012930120536757091,4.2019835479874447E-4
NE003005002,0.2696399688720703,0.3874545395374298,0.32785112074451533,0.3289409577846527,0.030766049009141663,0.0010447761742398143,0.002348502865061164,0.0017660637912790666,0.0017535622464492917,3.458191966772054E-4
NE003006001,0.31951677799224854,0.4176139533519745,0.37567585093598355,0.3769715130329132,0.024575259508843397,0.0014129702467471361,0.004058744292706251,0.003000334688194344,0.0032894534524530172,8.662341849486792E-4
NE003006002,0.31951677799224854,0.4176139533519745,0.3568507380182966,0.3509298861026764,0.031709918234595055,0.0012480305740609765,0.004111382644623518,0.00259055394441151,0.0025333359371870756,8.620436817011669E-4
NE003006003,0.2767046093940735,0.4169841706752777,0.3362405952591224,0.3296487033367157,0.033903988742221065,0.0013842507032677531,0.0042573632672429085,0.0028684509298335993,0.0026928975712507963,7.580068450444274E-4
NE003006004,0.3107549548149109,0.39863526821136475,0.3486598407190403,0.3521198630332947,0.024028967656882873,0.0018541872268542647,0.004058744292706251,0.002765774406359254,0.002609627554193139,6.147637919478205E-4
NE003006005,0.2767046093940735,0.3392654061317444,0.3032527898157072,0.31104353070259094,0.02168417448854,9.934169938787818E-4,0.004146922845393419,0.003096976071090496,0.0035114700440317392,8.72614665837573E-4
NE003006006,0.3340877294540405,0.4680440425872803,0.3767910618059479,0.37374359369277954,0.02456183256047578,6.555737927556038E-4,0.004012922756373882,0.001967032290934538,0.0016860868781805038,8.102280226045717E-4
NE003007001,0.22789660096168518,0.2869563698768616,0.2640198416047836,0.2644031345844269,0.010717925817601209,6.479827570728958E-4,0.0029816606547683477,0.0014168901467431839,0.001337823341600597,4.7240226297001715E-4
NE003007002,0.21863888204097748,0.2718169093132019,0.24422834948838928,0.24251115067875217,0.013233501802919479,6.479827570728958E-4,0.002922585466876626,0.0016409228219111758,0.0015892161058389351,5.615105584794631E-4
NE003007003,0.238843634724617,0.28195321559906006,0.2579795041726531,0.2613867223262787,0.009824584055474024,0.00105666508898139,0.002694192575290799,0.0016306907652628804,0.001680754590779543,3.7479174157588026E-4
NE003008001,0.27123162150382996,0.37722641229629517,0.304642303214469,0.2945898175239563,0.028247116522308793,0.0010036067105829716,0.002807043492794037,0.0019090921524511002,0.001849356689490378,3.98304012549504E-4
NE003008002,0.2688065767288208,0.41417935490608215,0.300399596820439,0.2938707172870636,0.02624417735056383,8.9782610302791E-4,0.003262667218223214,0.001879346863290456,0.0017354986697867296,5.070219372489378E-4
NE003008003,0.25947433710098267,0.3024485111236572,0.27764980843531567,0.2769174575805664,0.01015853006553689,0.0015216812025755644,0.003669594880193472,0.002728973567186483,0.002722457516938448,5.223336475904625E-4
NE003008004,0.2565784156322479,0.362502783536911,0.27963953407985154,0.2769557535648346,0.01769914006228702,0.0013656773371621966,0.0036113483365625143,0.002316121878548844,0.002207782119512558,5.451074062847208E-4
NE004001001,0.20514971017837524,0.3144838809967041,0.23973887968161448,0.23562514781951904,0.023284891836665888,0.0012784820282831788,0.0024785641580820084,0.0018939381583308631,0.001961397472769022,2.4701336177359136E-4
NE004001002,0.18877069652080536,0.262844443321228,0.2407859718864518,0.2420818954706192,0.01640379047555566,0.0010266749886795878,0.0024060688447207212,0.0020752475526219813,0.0021473700180649757,2.9050884160395556E-4
NE004002001,0.1803666651248932,0.23828937113285065,0.20538156446217895,0.20504717528820038,0.012720725320402405,5.495210061781108E-4,0.0020382008515298367,0.0010821118886737444,0.001035020686686039,3.7186067334685636E-4
NE004002002,0.13388921320438385,0.21475444734096527,0.18547011463248486,0.18626624065032904,0.01462632852536013,4.152283654548228E-4,0.0019638086669147015,8.733391159399577E-4,7.362273172475398E-4,3.2980178377885666E-4
NE004003001,0.18162989616394043,0.23251737654209137,0.20448958450487598,0.20325791835784912,0.011486959020918886,0.0010323583846911788,0.0027482968289405107,0.0022188181691687146,0.0022546235704794526,3.760921480394301E-4
NE004003002,0.18302813172340393,0.22758907079696655,0.19954212021986462,0.19016943871974945,0.015558842474937098,7.086058612912893E-4,0.002098918193951249,0.001287493980344068,8.988790796138346E-4,4.986167353057103E-4
NE004003003,0.16233666241168976,0.23123472929000854,0.19389760173220302,0.1963263750076294,0.014753799563973862,5.484619177877903E-4,0.002248101169243455,0.001310841033247157,0.0013270885101519525,4.8068784336478284E-4
NE004003004,0.18391580879688263,0.2282041311264038,0.20675384504131647,0.20706087350845337,0.010399982951705378,7.086058612912893E-4,0.0027482968289405107,0.0022116787166939177,0.002270839875563979,3.525613432924648E-4
NE004003005,0.17868521809577942,0.2406853288412094,0.20108941104129377,0.2014477550983429,0.015616843510445242,7.086058612912893E-4,0.002529147546738386,0.0017670809832335264,0.0016282926080748439,6.204076146905879E-4
NE004003006,0.1612285077571869,0.2071290910243988,0.17960313800231273,0.17786189913749695,0.010604711655740675,9.019735734909773E-4,0.002846553921699524,0.001813219837379383,0.001762678730301559,4.7028221777828627E-4
NE004003007,0.1803666651248932,0.2406853288412094,0.21526610780113603,0.21755766868591309,0.014851273360349597,8.655322599224746E-4,0.002649584785103798,0.001837632891525317,0.002039025304839015,5.580547412273544E-4
NE004003008,0.16458502411842346,0.2282041311264038,0.1918184490003043,0.1891176446877471,0.01502787753683706,9.019735734909773E-4,0.0026102911215275526,0.002118110664302778,0.002158226678147912,3.702519281292407E-4
NE004003009,0.16502507030963898,0.2315078228712082,0.1818523526808178,0.18055658042430878,0.015266072823137567,0.0,0.0024846834130585194,0.001154305574104296,0.001588780665770173,9.691582129037962E-4
NE004003010,0.17587661743164062,0.22515252232551575,0.20406158892072257,0.20639798045158386,0.013073656272739919,6.084217457100749E-4,0.0020158111583441496,0.0011444580160999654,0.0010363281471654773,4.572604916817933E-4
NE004003011,0.16595761477947235,0.19487491250038147,0.1785403666602578,0.1753760278224945,0.008604230890036419,0.0014293030835688114,0.002675361465662718,0.002265201168677855,0.0022559836506843567,2.9294345396845825E-4
NE004003012,0.1606777161359787,0.23123472929000854,0.19751526454265414,0.1993164960942213,0.013711289109566038,6.12673640716821E-4,0.0017070949543267488,0.001229319056610715,0.0012570228427648544,3.11858561058389E-4
NE004004001,0.24649983644485474,0.3137812912464142,0.27571567506908845,0.2729286849498749,0.020178572648111983,0.0012401262065395713,0.0024785641580820084,0.002058872563344836,0.002109185326844454,2.853856581198464E-4
NE004004002,0.2124132215976715,0.31599628925323486,0.27146315437478785,0.2680390179157257,0.0263250143600939,0.0011208773357793689,0.002312874887138605,0.0019175436165547815,0.00196186569519341,2.8109367675405715E-4
NE004005001,0.15729820728302002,0.2172240912914276,0.18054128064149907,0.17995907366275787,0.013410663025204484,0.001030019368045032,0.0028418253641575575,0.0021301194585832224,0.002204674296081066,3.8106723476637086E-4
NE004005002,0.14520227909088135,0.1922769695520401,0.17097505958596482,0.17096570134162903,0.010709174554292641,9.494012338109314E-4,0.0030457153916358948,0.0021838325935058683,0.002191488863900304,4.882174384373234E-4
NE004005003,0.14520227909088135,0.2318870574235916,0.17209274546335307,0.17323508858680725,0.017332167759054436,0.0010204111458733678,0.002983393147587776,0.0020947969738468,0.0019132677698507905,5.86146770546334E-4
NE004005004,0.14642636477947235,0.22699788212776184,0.20387948930342206,0.2052297443151474,0.01676035276184934,0.0014164167223498225,0.0028908648528158665,0.0022284100423048533,0.0022488576360046864,3.349918666014305E-4
NE004005005,0.14204081892967224,0.2378726303577423,0.1915167305501516,0.1901930272579193,0.019913735376907476,5.183127941563725E-4,0.003072000341489911,0.0023727605098067613,0.0025112777948379517,5.369524908507412E-4
NE004006001,0.18918681144714355,0.31724122166633606,0.2660522230963983,0.25690487027168274,0.026692072672317133,0.0011468678712844849,0.002583235502243042,0.0018669290111757364,0.0018757206853479147,3.316856388869687E-4
NE004006002,0.17062434554100037,0.2548746168613434,0.21868666846262186,0.2224503606557846,0.022529806096791175,0.0010956262703984976,0.002579133491963148,0.002069345706986916,0.002109998371452093,3.506106021831432E-4
NE004006003,0.20924335718154907,0.29426196217536926,0.25172915170620275,0.2524400055408478,0.018222795071153708,0.0010947597911581397,0.0035116139333695173,0.0023623909234100427,0.0024224973749369383,5.465108417591991E-4
NE004006004,0.16717590391635895,0.27661368250846863,0.22956890200835345,0.22710730135440826,0.0259490861717224,0.001165364170446992,0.0029601564165204763,0.0020311525682538715,0.0020754351280629635,5.316539749426848E-4
NE004006005,0.15138913691043854,0.2753322124481201,0.2251962403389478,0.2193492203950882,0.02612963583028066,5.2021408919245E-4,0.0030839911196380854,0.002454222351987713,0.0025985415559262037,6.186456356866265E-4
NE004006006,0.16508519649505615,0.21976034343242645,0.20615474948101123,0.21004046499729156,0.01509053800322442,0.001256254967302084,0.003072000341489911,0.002546681523026985,0.0026408785488456488,4.521951203177842E-4
NE004007001,0.14204081892967224,0.17062434554100037,0.14782575561719782,0.14204081892967224,0.012377145170163303,5.183127941563725E-4,0.0015717758797109127,7.238769264636084E-4,5.183127941563725E-4,4.4144920051278667E-4
NE004007002,0.14204081892967224,0.17062434554100037,0.15557706174643146,0.14204081892967224,0.011246415682745915,5.183127941563725E-4,0.0015717758797109127,0.0010102718228312292,5.183127941563725E-4,4.610747335133168E-4
NE004007003,0.14204081892967224,0.21325822174549103,0.16743510913806453,0.17150761187076569,0.02127488434811728,5.183127941563725E-4,0.0019407409708946943,0.0010237254776570984,0.0012392245698720217,5.152228738069315E-4
NE004008001,0.15933644771575928,0.22009305655956268,0.18991821751188906,0.1913655400276184,0.013409512422501754,0.0,0.0025794501416385174,0.0019365306753726594,0.0019677728414535522,4.243552048445192E-4
NE004008002,0.1619761884212494,0.2327246069908142,0.1984864279347299,0.19848968088626862,0.01749349164136533,0.0012449297355487943,0.002205425873398781,0.001623613960366848,0.0016007738886401057,1.9080259367870684E-4
NE004008003,0.1751163899898529,0.23123472929000854,0.19756822820611059,0.19658880807909127,0.01135771141569692,6.12673640716821E-4,0.0024752826429903507,0.001714372866914656,0.0018662539077922702,4.718880935169096E-4
NE004008004,0.19600339233875275,0.24875469505786896,0.22485624491914388,0.22525812685489655,0.011390844877524939,0.0014798816991969943,0.0020890303421765566,0.001846265460648499,0.0018437858670949936,1.459087060817325E-4
NE004008005,0.1821269541978836,0.24286670982837677,0.212911210826373,0.2146475464105606,0.014967267678179935,0.001615826622582972,0.002229423960670829,0.0018931894748415439,0.0019058167235925794,1.3576534016162864E-4
NE004008006,0.16458019614219666,0.22977705299854279,0.1953083564230018,0.19911648333072662,0.016826698705747458,0.0011813959572464228,0.0023802700452506542,0.0018916252751333008,0.00191662332508713,2.372157147658052E-4
NE004008007,0.15933644771575928,0.2315078228712082,0.20682043690642501,0.2088182419538498,0.01736943610085548,0.0,0.0025794501416385174,0.0019427001176713064,0.002026356989517808,4.452779040183614E-4
NE004008008,0.18247991800308228,0.21315911412239075,0.19730916909441013,0.1971127688884735,0.007409298927085457,0.0010148233268409967,0.002205425873398781,0.0016761686184985035,0.0017007285496219993,2.399334440184057E-4
NE004009001,0.2124132215976715,0.2606256604194641,0.24111106640143365,0.23888610303401947,0.011910839628357229,0.0017362242797389627,0.002061606850475073,0.001955956175568239,0.002012095879763365,1.0758244394404712E-4
NE004009002,0.28025829792022705,0.3545910120010376,0.3281555555142221,0.3289554715156555,0.020133042460281757,9.44658531807363E-4,0.002050564158707857,0.0015920626231141996,0.0016071037389338017,3.170876575822388E-4
NE004009003,0.2124132215976715,0.26445290446281433,0.24802596188748063,0.256038099527359,0.018910149454197365,0.0015628915280103683,0.001953184138983488,0.0018013531204014188,0.0018277092603966594,1.3133345834259752E-4
NE004009004,0.2363854944705963,0.35385072231292725,0.28572163897701824,0.27347636222839355,0.03027591053607438,7.019370677880943E-4,0.002014115219935775,0.0013834924237607607,0.0013656697701662779,3.3616985405433955E-4
NE004009005,0.2108452469110489,0.26507702469825745,0.2366699232436554,0.2363854944705963,0.011814476828384818,0.001176029210910201,0.002067758236080408,0.0016964310671245188,0.001749025541357696,2.3071621517589054E-4
NE004009006,0.1571120172739029,0.26507702469825745,0.21197197761811074,0.21162602305412292,0.023684795655889688,7.138974033296108E-4,0.0019509346457198262,0.001405903325217963,0.001431075157597661,2.4461114863831736E-4
NE004009007,0.17910096049308777,0.28196778893470764,0.22386291227251795,0.22476813197135925,0.014580945699492547,0.0012505295453593135,0.0022319455165416002,0.0018673382105908554,0.001908701378852129,1.9438338300438004E-4
NE005001001,0.0,0.1942734271287918,0.15212813479846263,0.1528404802083969,0.021852444172342892,0.0,0.002613428980112076,0.0011390283343866167,9.38471220433712E-4,5.515172783877086E-4
NE005001002,0.14607100188732147,0.19675807654857635,0.17449975378087587,0.1745445877313614,0.011680488718092104,6.659931968897581E-4,0.002613428980112076,0.00133693962124775,0.0012464133324101567,5.479036448875895E-4
NE005001003,0.13830804824829102,0.22437728941440582,0.18941733011794137,0.19095578789710999,0.01783508966823343,5.318291368894279E-4,0.0021413364447653294,0.0010150577186210509,7.90527105944753E-4,4.3905058925474663E-4
NE005001004,0.11754824966192245,0.19065998494625092,0.1629949432570363,0.16605040431022644,0.018711418725886178,5.581748555414379E-4,0.0024065710604190826,0.0013486865619313467,0.0014678819570690393,4.5159709896237126E-4
NE005001005,0.0,0.1796228587627411,0.10582688029854578,0.13129416191335863,0.05746785396036814,0.0,0.0016671114135533571,5.478171409089838E-4,6.143520292932638E-4,3.7474960257486014E-4
NE005002001,0.0,0.2741820812225342,0.18573289119042444,0.18831614874206581,0.051535352403557076,0.0,0.0028450952377170324,0.0010654170320158066,9.623005171306431E-4,5.32949906754902E-4
NE005003001,0.180757537484169,0.2741820812225342,0.24210702611538884,0.24646931886672974,0.020087262631305145,9.798745159059763E-4,0.0035662681329995394,0.0016419459605403713,0.0014768674736842513,5.353298545168588E-4
NE005003002,0.17397329211235046,0.26825660467147827,0.20039977993702918,0.1931832730770111,0.02394160616534422,0.0010566959390416741,0.003915065433830023,0.002016871888061345,0.002019810024648905,7.844500779909989E-4
NE005003003,0.17196539044380188,0.2662920653820038,0.20913746155624557,0.21007117629051208,0.02246351873510943,9.959232993423939E-4,0.0034437309950590134,0.0018553395661472525,0.0018420993583276868,6.232683332395047E-4
NE005003004,0.18634049594402313,0.25315946340560913,0.20601441458979647,0.20385292172431946,0.01598849377479401,6.328497547656298E-4,0.0028328849002718925,0.0016824142209385532,0.0014169196365401149,5.416451951089286E-4
NE005004001,0.19631800055503845,0.2241559773683548,0.2102160322496671,0.2107381522655487,0.0072195786310792,7.448638207279146E-4,0.0011141350260004401,8.492748339715911E-4,8.401074446737766E-4,7.442388133408025E-5
NE005004002,0.17746183276176453,0.23922747373580933,0.2127506193154727,0.2142687737941742,0.014622768498131416,6.020307773724198E-4,0.00300292344763875,0.002082734729050299,0.0021102139726281166,6.37008779696583E-4
NE005004003,0.17325431108474731,0.23922747373580933,0.19915688663278966,0.20087456703186035,0.013304838364418934,7.832527044229209E-4,0.0028680136892944574,0.0013110732278694315,9.934980189427733E-4,7.008735807759464E-4
NE005004004,0.17105865478515625,0.2171178162097931,0.1935294560292964,0.1903248131275177,0.011694249964110571,8.169980719685555E-4,0.0028680136892944574,0.0012001523144912205,9.475567494519055E-4,5.46508751766951E-4
NE005004005,0.17616884410381317,0.23438814282417297,0.20672277686256063,0.20413635671138763,0.012353044800985596,8.636199636384845E-4,0.002882627071812749,0.002103436645826602,0.002228261437267065,6.004091347520543E-4
NE005004006,0.17105865478515625,0.2322179079055786,0.20137781835183857,0.20267631113529205,0.017619640324763677,8.319213520735502E-4,0.0028680136892944574,0.0020064122822547226,0.0022186303976923227,6.314931429425651E-4
NE005004007,0.1893165409564972,0.22163322567939758,0.20475691444712954,0.20348277688026428,0.007353282257844554,7.859109900891781E-4,0.001137095969170332,9.43840354431237E-4,8.908804738894105E-4,9.317252433032319E-5
NE005005001,0.19537578523159027,0.25713008642196655,0.22173973042424214,0.22050192952156067,0.014647982916271613,7.448638207279146E-4,0.002386052394285798,0.0010454717206023038,9.750789613462985E-4,2.958167546895931E-4
NE005005002,0.17817938327789307,0.28470391035079956,0.23587716121410943,0.2362296669423079,0.020358479171798803,9.381135459989309E-4,0.0033977956045418978,0.0018389982291686494,0.001742094464134425,6.590408500214236E-4
