GID_3,road_km
BEN.9.4.2_1,14.40121568627451
BEN.9.4.3_1,0.0
BEN.9.4.4_1,1.73
BEN.9.4.5_1,0.0
BEN.9.4.6_1,6.015019607843137
BEN.9.4.7_1,0.8
BEN.9.5.1_1,3.67
BEN.9.5.2_1,8.658313725490196
BEN.9.5.3_1,0.0
BEN.9.5.4_1,2.978156862745098
BEN.9.5.5_1,8.08556862745098
BEN.9.5.6_1,4.73
BEN.9.7.1_1,4.7509411764705884
BEN.9.7.2_1,3.23
BEN.9.7.3_1,5.102274509803922
BEN.9.7.4_1,0.0
BEN.9.7.5_1,3.6326274509803915
BEN.9.7.6_1,20.798980392156864
BEN.10.1.1_1,3.0096470588235293
BEN.10.1.2_1,3.947333333333334
BEN.10.1.3_1,0.0
BEN.10.1.4_1,14.221921568627453
BEN.10.1.5_1,6.308666666666666
BEN.10.1.6_1,6.784274509803922
BEN.10.2.1_1,5.23
BEN.10.2.2_1,5.280156862745098
BEN.10.2.3_1,0.0
BEN.10.2.4_1,9.01564705882353
BEN.10.2.5_1,2.040235294117647
BEN.10.2.6_1,0.0
BEN.10.2.7_1,0.17980392156862746
BEN.10.2.8_1,0.0
BEN.10.3.1_1,0.0
BEN.10.3.2_1,0.0
BEN.10.3.3_1,0.0
BEN.10.4.1_1,22.017294117647058
BEN.10.4.2_1,6.706156862745098
BEN.10.4.3_1,9.23129411764706
BEN.10.4.4_1,8.447450980392153
BEN.10.4.5_1,2.2967843137254906
BEN.10.5.1_1,7.927843137254902
BEN.10.5.2_1,8.771647058823527
BEN.10.5.3_1,5.397294117647059
BEN.10.5.4_1,3.1008235294117648
BEN.10.5.5_1,0.0
BEN.10.5.6_1,6.960117647058824
BEN.10.5.7_1,0.0
BEN.10.6.1_1,3.9671372549019606
BEN.10.6.2_1,3.5223137254901964
BEN.10.6.3_1,3.297647058823529
BEN.10.6.4_1,2.08
BEN.10.6.5_1,1.4127450980392158
BEN.10.7.1_1,5.22
BEN.10.7.2_1,0.0
BEN.10.7.3_1,1.73
BEN.10.7.4_1,0.0
BEN.10.7.5_1,0.0
BEN.10.7.6_1,0.0
BEN.10.7.7_1,1.8139607843137255
BEN.10.8.1_1,20.056705882352933
BEN.10.8.2_1,7.189568627450981
BEN.10.8.3_1,7.870431372549019
BEN.10.8.4_1,53.492862745098044
BEN.10.8.5_1,30.219098039215673
BEN.10.9.1_1,5.934274509803921
BEN.10.9.2_1,0.0
BEN.10.9.3_1,8.93
BEN.10.9.4_1,12.26027450980392
BEN.10.9.5_1,5.708588235294118
BEN.10.9.6_1,18.115686274509805
BEN.11.1.1_1,0.0
BEN.11.1.2_1,6.0
BEN.11.1.3_1,0.0
BEN.11.1.4_1,0.037647058823529415
BEN.11.1.5_1,5.290549019607843
BEN.11.1.6_1,0.0
BEN.11.2.1_1,6.25
BEN.11.2.2_1,0.0
BEN.11.2.3_1,14.952549019607844
BEN.11.2.4_1,0.0
BEN.11.2.5_1,4.21
BEN.11.2.6_1,3.8
BEN.11.3.1_1,0.0
BEN.11.3.2_1,19.070941176470587
BEN.11.3.3_1,22.76
BEN.11.3.4_1,10.421607843137256
BEN.11.3.5_1,4.1985882352941175
BEN.11.3.6_1,0.85
BEN.11.4.1_1,2.4539607843137254
BEN.11.4.2_1,0.6752156862745098
BEN.11.4.3_1,5.89
BEN.11.4.4_1,10.459411764705884
BEN.11.4.5_1,0.0
BEN.11.5.1_1,1.0071372549019608
BEN.11.5.2_1,8.12
BEN.11.5.3_1,7.260039215686273
BEN.11.5.4_1,4.529529411764705
BEN.11.5.5_1,3.761176470588236
BEN.11.5.6_1,3.3885098039215684
BEN.12.1.1_1,1.072313725490196
BEN.12.1.2_1,0.0
BEN.12.1.3_1,2.521529411764706
BEN.12.1.4_1,4.421725490196078
BEN.12.1.5_1,1.5455294117647058
BEN.12.1.6_1,2.578196078431372
BEN.12.1.7_1,2.8384313725490196
BEN.12.2.1_1,0.13
BEN.12.2.2_1,1.01
BEN.12.2.3_1,8.968941176470587
BEN.12.2.4_1,4.075058823529412
BEN.12.2.5_1,5.194235294117647
BEN.12.2.6_1,2.412823529411765
BEN.12.2.7_1,0.21
BEN.12.2.8_1,1.6080784313725491
BEN.12.2.9_1,2.2106274509803923
BEN.12.2.10_1,0.0
BEN.12.3.1_1,18.323215686274512
BEN.12.3.2_1,0.10231372549019609
BEN.12.3.3_1,9.632
BEN.12.3.4_1,2.9485882352941175
BEN.12.3.5_1,12.491058823529412
BEN.12.3.6_1,4.54
BEN.12.3.7_1,7.419019607843137
BEN.12.3.8_1,10.883254901960784
BEN.12.3.9_1,5.464666666666666
BEN.12.3.10_1,0.0
BEN.12.4.1_1,2.9752156862745096
BEN.12.4.2_1,0.0
BEN.12.4.3_1,0.8018823529411765
BEN.12.4.4_1,0.0
BEN.12.4.5_1,0.0
BEN.12.4.6_1,0.0
BEN.12.4.7_1,0.0
BEN.12.4.8_1,3.4127843137254903
BEN.12.5.1_1,0.0
BEN.12.5.2_1,2.9
BEN.12.5.3_1,3.0
BEN.12.5.4_1,5.22
BEN.12.5.5_1,2.6406666666666667
BEN.12.5.6_1,0.0
BEN.12.5.7_1,1.27
BEN.12.5.8_1,0.12125490196078431
BEN.12.5.9_1,0.03
BEN.12.5.10_1,0.48
BEN.12.5.11_1,5.36
BEN.12.5.12_1,0.4
BEN.12.6.1_1,8.52
BEN.12.6.2_1,9.8
BEN.12.6.3_1,0.07
BEN.12.6.4_1,3.062313725490196
BEN.12.7.1_1,1.23
BEN.12.7.2_1,0.0
