GID_3,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
BEN.2.1.4_1,-0.13584632453611925,0.10472312095780148,0.03263507631509401,0.03466958885326112,0.020037410108165926,-0.042873609435836055,0.9416569068924305,0.10226392242628464,0.06460437909724974,0.0986017159425523
BEN.2.1.5_1,-0.318862904944191,0.26398204889015425,0.0345360388097153,0.037312976691414514,0.03660205902077429,-0.27920194746305543,2.597837305899399,0.13980066539426556,0.08556366159099237,0.16220478277339806
BEN.2.1.6_1,-0.29636725907524425,0.5997824844033901,0.03234504061790516,0.033463627334980636,0.05819193154079945,-0.2674757376024943,1.8366573231871284,0.18585934907689558,0.11661087738947794,0.2147491576189645
BEN.2.1.7_1,-0.36817680419993676,0.26082258858895374,0.02232455292039802,0.033252993982518415,0.06713967305411116,-0.27920194746305543,2.597837305899399,0.20453947457581428,0.101149156454955,0.3417342664832474
BEN.2.1.8_1,-0.01761149454839705,0.11392457187910277,0.039067570229124264,0.039609929897658165,0.01135012847550889,-0.08706339983646535,0.341872096887701,0.05252551355967719,0.047830485733902604,0.03998175983666768
BEN.2.2.1_1,-0.40971339533903767,0.35582831243768204,0.026171840625314143,0.033215774181884684,0.048656228971893006,-0.24418753130677423,2.463555031406854,0.18282963841772712,0.11659207852170782,0.2218574355364598
BEN.2.2.2_1,-0.46991049857821227,0.505135242943652,0.03375666218258443,0.03701020067321118,0.0438278129588637,-0.2673196092724711,3.6249574277788357,0.12478744038998657,0.08496203546462049,0.22340276116409258
BEN.2.2.3_1,-0.2787955259749045,0.21517654617907414,0.03085172031568447,0.03611334688037476,0.039686284814877563,-0.22304897934095824,2.1449741872257575,0.1443777929906555,0.08549319087895642,0.20640956453442824
BEN.2.2.4_1,-0.18366673605244918,0.5083596062308754,0.03400875147664724,0.03326532613698104,0.03639015055996425,-0.6304765921075679,1.1404986876171148,0.11401382917552096,0.08191872196559215,0.12041223921595541
BEN.2.3.1_1,-0.24625787729287585,0.24049498074150288,0.03539094429404886,0.03606145263689346,0.019133259236737567,-0.2683857787591738,1.3039110120153055,0.08119603301079502,0.06625752907140013,0.07443179350682423
BEN.2.3.2_1,-0.2816186640092859,0.29627330793785706,0.034702073591684125,0.0370524416793614,0.03274315079519703,-0.31928009408182423,1.4670663314450176,0.11362904366733396,0.08193928163908815,0.12458001173298687
BEN.2.3.3_1,-0.3686380047431504,0.5973035564629321,0.035587937992237764,0.03703902867159474,0.0255201126141641,-0.7617220518542516,1.9036981899823462,0.09070022428308412,0.06992589481587012,0.10062216108445725
BEN.2.3.4_1,-0.46957426343856024,5.280005510911689,0.04908761635203811,0.03949496767558717,0.164681646963035,-8.67448080598288,2.335752041471313,0.0876342675465554,0.08157493801174015,0.3056002938760614
BEN.2.4.1_1,-1.1343926279306678,0.18057793584600967,0.03267717940448413,0.03494470716301142,0.04735481502225293,-0.10232407291429506,5.963049708904388,0.08242286031162671,0.05041570638872043,0.23647424862543714
BEN.2.4.2_1,-0.0035634312440552527,0.11651035989191205,0.03656247913009028,0.035987370239698765,0.010756964212729158,-0.03228407274235949,0.2913786753834713,0.06666476931370556,0.057582442311625154,0.03969238270907486
BEN.2.4.3_1,-0.33085258160870235,0.1652858133570373,0.03550279326645307,0.03614457677349457,0.020635671703104506,-0.05017311402618708,1.6357962296765653,0.06820553120407216,0.0583657777273354,0.07863183473758018
BEN.2.4.4_1,-0.45050480101894036,0.9794879766275353,0.036789675033033806,0.03530316236151926,0.03196335200989715,-1.4423832222154098,2.1488183801601344,0.0886418246620134,0.0698394315107332,0.09824171118209443
BEN.2.4.5_1,-0.11852119037870407,0.28824992661940907,0.03617734799266271,0.03613966341978684,0.018359423220003158,-0.03429589811102709,1.2779779642642963,0.0856246893917365,0.06645832005434871,0.0882579424344527
BEN.2.4.6_1,-0.30556557883703916,0.16777272811547542,0.03534655706867517,0.03611110031341557,0.021899268559723094,-0.14804407309219686,1.5368717820532591,0.08389076374549687,0.05855515945127147,0.0959413004626321
