GID_3,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
BEN.4.8.1_1,0.0,316.0,169.65141268054586,180.37596756358275,69.73927199521617,0.0,144.03663635253906,48.209981073230615,38.45161316156308,31.915950599717046,54,220,135.73730384691783,137.0,37.09096969930534
BEN.4.8.2_1,0.0,381.0,175.8319091752738,162.41191236878137,88.31540397449079,0.0,232.0413055419922,78.49118041824264,71.3810674879286,53.478602732724255,39,305,140.6674374280101,128.5,60.53792894849314
BEN.4.8.3_1,0.0,275.0,126.5447296876175,118.86200551977922,59.11779623227634,0.0,128.1133575439453,44.75586192925235,37.61043904015684,28.982724676555367,13,168,69.58055642119515,62.0,34.951979205197766
BEN.4.8.4_1,0.0,204.0,106.66135696797902,108.0,42.98270673371826,0.0,111.85162353515625,33.58327232034534,30.743828116685783,21.182767539649777,15,164,86.36732147736781,90.0,29.411004724219666
BEN.4.8.5_1,0.0,193.0,85.43654047452895,88.0,34.18612020434634,0.0,83.94860076904297,26.009366860210275,20.593695640563965,18.727421854874784,8,114,45.93750000000001,42.0,22.676880467871715
BEN.4.8.6_1,0.0,166.0,77.62271982696926,77.0,35.964557996036916,0.0,107.74433135986328,27.672742488665627,18.780162540011936,24.279203845405114,0,168,39.85130170645205,29.0,33.47364679173948
BEN.4.8.7_1,0.0,201.0,110.7398148593679,114.0,37.58527404386912,0.0,93.38758087158203,30.29075146538202,24.7402101488472,19.02811319313809,8,164,57.45851732038359,54.99999999999999,26.86830727321296
BEN.5.1.1_1,0.0,212.0,106.2677273770366,108.0,46.124623265622844,0.0,59.86418151855469,24.619428361446104,24.693138758341473,12.917182225249723,36,126,71.83028634080421,71.0,20.45756204192281
BEN.5.1.2_1,0.0,177.0,106.01739345664012,108.99999999999999,41.48258767767977,0.0,81.1423568725586,29.155267756040832,23.896493434906006,19.13226748238127,26,119,66.90907249898747,61.0,25.165531865685654
BEN.5.1.3_1,11.0,212.0,107.88547232981027,108.99999999999999,46.92636678215427,1.1012016534805298,100.174072265625,25.652325202904887,21.837884798645973,19.59509570265196,72,171,105.65643011882098,104.0,22.806295872038543
BEN.5.1.4_1,11.0,86.0,41.97658411064651,42.0,17.232064977969667,1.105979323387146,21.29348373413086,7.522285754590912,5.936872124671936,4.8764375275571386,59,101,73.46072692183982,73.0,9.696790173754918
BEN.5.1.5_1,0.0,221.0,105.39589107121348,101.0,49.896308019161964,0.0,123.33977508544922,29.34279052105017,20.12098477654538,26.702794135122346,59,221,115.42794312567787,107.99999999999999,33.75839007616483
BEN.5.1.6_1,0.0,241.0,122.62736402603981,121.0,58.65456742550406,0.0,77.26673126220703,26.930107493218742,26.35970933824977,14.880692766199799,16,107,61.08104702728743,65.0,21.224402933764676
BEN.5.1.7_1,0.0,126.0,69.57838846480068,75.00000000000001,28.003862211566524,0.0,39.990230560302734,15.100761188401112,14.680956720922538,8.18028113299531,54,123,87.22530958439356,89.00000000000001,17.06115939186228
