COUNTRY,GID_0,NAME_1,GID_1,NAME_2,GID_2,NAME_3,GID_3,TYPE_3,mean_p0,sd_p0,cv_p0
Benin,BEN,Alibori,BEN.1_1,Banikoara,BEN.1.1_1,Goumori,BEN.1.1.4_1,Arrondissement,.4891448,.49988741,1.021962
Benin,BEN,Mono,BEN.9_1,Grand-Popo,BEN.9.4_1,Grand-Popo,BEN.9.4.6_1,Arrondissement,.42271265,.49401203,1.168671
Benin,BEN,Alibori,BEN.1_1,Malanville,BEN.1.5_1,Guénè,BEN.1.5.2_1,Arrondissement,.20801276,.40589085,1.9512787
Benin,BEN,Atakora,BEN.2_1,Kouandé,BEN.2.4_1,Guilmaro,BEN.2.4.4_1,Arrondissement,.43589744,.49588466,1.1376177
Benin,BEN,Atlantique,BEN.3_1,Zè,BEN.3.8_1,Hékanmè,BEN.3.8.5_1,Arrondissement,.65079367,.47672638,.73253077
Benin,BEN,Atlantique,BEN.3_1,Abomey-Calavi,BEN.3.1_1,Hévié,BEN.3.1.5_1,Arrondissement,.16665226,.37266713,2.236196
Benin,BEN,Kouffo,BEN.7_1,Lalo,BEN.7.5_1,Hlassamè,BEN.7.5.6_1,Arrondissement,.63636363,.4810591,.75595003
Benin,BEN,Mono,BEN.9_1,Houéyogbé,BEN.9.5_1,Honhoué,BEN.9.5.3_1,Arrondissement,.35493594,.47852397,1.3481981
Benin,BEN,Ouémé,BEN.10_1,Adjarra,BEN.10.1_1,Honvié,BEN.10.1.4_1,Arrondissement,0,0,
Benin,BEN,Mono,BEN.9_1,Lokossa,BEN.9.7_1,Houèdèmè-Adja,BEN.9.7.3_1,Arrondissement,.051833205,.22169383,4.2770619
Benin,BEN,Atlantique,BEN.3_1,Sô-Ava,BEN.3.5_1,Houédo-Aguékon,BEN.3.5.5_1,Arrondissement,.16666667,.37268293,2.2360976
Benin,BEN,Kouffo,BEN.7_1,Toviklin,BEN.7.6_1,Houédogli,BEN.7.6.4_1,Arrondissement,.43473193,.49574104,1.1403373
Benin,BEN,Ouémé,BEN.10_1,Aguégués,BEN.10.3_1,Houédomè,BEN.10.3.2_1,Arrondissement,.2037037,.40276191,1.9771948
Benin,BEN,Ouémé,BEN.10_1,Dangbo,BEN.10.7_1,Houédomey,BEN.10.7.4_1,Arrondissement,.21612324,.41160956,1.9045132
Benin,BEN,Kouffo,BEN.7_1,Djakotomey,BEN.7.2_1,Houègamey,BEN.7.2.6_1,Arrondissement,.45477536,.4979715,1.0949835
Benin,BEN,Atlantique,BEN.3_1,Toffo,BEN.3.6_1,Houégbo,BEN.3.6.5_1,Arrondissement,.12727273,.33331811,2.6189282
Benin,BEN,Zou,BEN.12_1,Covè,BEN.12.4_1,Houen-Hounso,BEN.12.4.4_1,Arrondissement,.22222222,.41574681,1.8708606
