GID_3,young,elderly,working,dependency_ratio
BEN.6.5.9_1,9159.678922542247,649.9854244917,10678.170993991755,0.9186652238996279
BEN.6.6.1_1,5884.596325437904,417.58034029963056,6860.1450287707175,0.9186652234474456
BEN.6.6.2_1,8792.226410332223,623.9104083732043,10249.802189485212,0.9186652234484093
BEN.6.6.3_1,4902.342426772857,347.878037095384,5715.053022578852,0.9186652237740989
BEN.6.4.1_1,7685.919197665341,572.0274586557597,9323.235639599181,0.8857382753736901
BEN.6.4.2_1,6908.327413202642,510.3771470144592,8399.306615397792,0.8832520230440176
BEN.6.4.3_1,5559.376980849533,410.47114980450465,6753.943731367155,0.883905517738982
BEN.6.4.4_1,9796.485945740387,723.0293831184672,11898.2804053558,0.8841206435279239
BEN.6.4.5_1,5949.615001930605,437.5889332947285,7232.429986586185,0.8831338771438545
BEN.6.4.6_1,3299.8765324745477,250.2761919864097,3997.229625004477,0.8881533105461714
BEN.7.1.1_1,16665.493241067634,762.5968816843686,18202.15968989047,0.9574737514489343
BEN.7.1.2_1,16504.47493219731,756.3641147622512,18023.591752999902,0.9576803160827594
BEN.7.1.3_1,9078.222005595711,415.0137885295923,9909.68386586786,0.9579756450983327
BEN.7.1.4_1,15558.035306038519,711.4223084210814,16991.211439152416,0.9575219326015979
BEN.7.1.5_1,7565.999858835187,346.45235176364497,8253.388258432402,0.9586913838101293
BEN.7.1.6_1,8752.318834125264,406.1208892852492,9495.259488588386,0.9645275870993656
BEN.7.1.7_1,9934.545728290548,454.1095628942056,10848.143210577191,0.9576436344475592
BEN.7.2.1_1,9189.40604324864,474.92656483963736,9904.08290179295,0.9757927820190934
BEN.7.2.2_1,2638.6462339613227,128.69685695398158,2857.9415570757037,0.968299398587737
BEN.7.2.3_1,8615.829981786053,445.2830267019791,9285.898788415048,0.9757927816090938
BEN.7.2.4_1,5071.163799894966,265.96741623767997,5422.257446182636,0.9843005923464736
BEN.7.2.5_1,8058.070960019003,418.78697237735076,8718.06656798577,0.9723323246377613
BEN.7.2.6_1,7413.150427451674,379.53891291000394,7891.399070554424,0.9874914791014604
BEN.7.2.7_1,5214.784754498391,263.44205150786775,5634.569904114007,0.9722528780779528
BEN.7.2.8_1,7599.61618882155,405.86550050785786,8145.137896323395,0.9828540401928585
BEN.7.2.9_1,5382.067159495657,278.21901911918155,5801.721451765425,0.9756218435637669
BEN.7.2.10_1,12740.887477577162,643.6101962876091,13767.31789319456,0.972193551256703
BEN.9.6.1_1,10549.798755759883,644.6755368181668,12791.659445726618,0.8751385494645771
BEN.9.6.2_1,13053.083786594347,797.7675739342927,15795.080448702098,0.8769092000203634
BEN.9.6.3_1,3220.461638338178,207.46183390334411,4057.2800112673535,0.8448821532460014
BEN.9.6.4_1,5063.79969654945,326.2094971849656,6379.598828325292,0.8448821530599828
BEN.9.6.5_1,5972.661668897259,342.97779421039866,6710.130297584681,0.9412096610673832
BEN.9.6.6_1,9347.629379735692,595.5154759908671,11681.390506752148,0.851195313604075
BEN.9.6.7_1,6711.816870102884,411.839116473045,7976.122825104127,0.8931226540487648
BEN.7.4.1_1,10037.798440869245,499.38570157038555,10561.451513657908,0.9977022693152644
BEN.7.4.2_1,8229.909645794967,412.8207163905414,8633.848607197928,1.0010287133110227
BEN.7.4.3_1,4386.684453239513,218.64295396550435,4611.591423356626,0.9986416801540823
BEN.7.4.4_1,10112.093354193576,504.0111698328669,10630.544204254657,0.9986416800541186
BEN.7.4.5_1,2592.0240711463716,129.19274360786156,2724.918125069581,0.9986416801733251
BEN.7.4.6_1,5439.290161322627,271.1073662161033,5718.164622234775,0.9986416804675676
BEN.7.4.7_1,10265.491443377456,517.915105258647,10821.685031808072,0.9964627982555898
BEN.7.4.8_1,5509.745480613354,274.62323729511087,5790.836993859297,0.9988830153641535
BEN.7.5.1_1,6087.151006941928,303.7208479401777,6292.29214162952,1.0156667413136125
BEN.7.5.2_1,4586.428560271811,232.81443458971543,4777.082615174815,1.0088255496257874
BEN.7.5.3_1,4984.6510497104655,248.7111691831939,5152.637186293885,1.0156667410650424
BEN.7.5.4_1,3930.0701711492816,196.06411225210374,4071.9068571213993,1.013317452530906
BEN.7.5.5_1,4171.786071035541,208.1529440493169,4312.378103272769,1.0156667412258713
BEN.7.5.6_1,14823.936514824934,739.6462753140405,15323.51327673601,1.0156667409795268
BEN.7.5.7_1,8164.049224268178,407.94585921048355,8456.138871956166,1.0137008406882626
BEN.7.5.8_1,5610.950888020745,288.4485478847658,5811.057592948077,1.0152023691977583
BEN.7.5.9_1,4170.229855737863,214.3244767392289,4358.275942460883,1.0060295379097475
BEN.7.5.10_1,2732.900904734543,136.64911207150413,2827.6351758493374,1.0148232846000438
BEN.7.5.11_1,1554.692235280398,80.29399055031028,1617.0486368450756,1.0110927949703663
BEN.7.6.1_1,3352.542963040546,182.73979672350575,3507.400822884422,1.0079494583845996
BEN.7.6.2_1,2930.559945982534,160.0345086478154,3047.2455215290997,1.0142256122110886
BEN.7.6.3_1,5693.578826840369,313.33697354450055,5923.4155422216245,1.0140966402860077
BEN.7.6.4_1,4843.909631397487,261.37854988255407,5050.365082301855,1.0108750749862925
