GID_3,primary_school_age_girl_BEN_2020,secondary_school_age_girl_BEN_2020
BEN.3.8.10_1,942.3732732062246,855.5713633967381
BEN.3.8.11_1,1014.286405873766,912.7663211598116
BEN.4.1.1_1,3478.036289121122,3080.142131918552
BEN.4.1.2_1,1987.0667593479154,1756.460134810092
BEN.4.1.3_1,1955.3645052708825,1718.0593161213635
BEN.4.1.4_1,2125.5993618254574,1886.474344200714
BEN.4.1.5_1,3301.955410532856,2920.4970953240118
BEN.4.2.1_1,3922.7669650278835,2898.922899060155
BEN.4.2.2_1,3361.9239081831547,2503.3742408196126
BEN.4.2.3_1,3330.0174577011785,2485.3673050277375
BEN.4.2.4_1,2736.455446837461,2037.681853573462
BEN.4.2.5_1,4827.2570077933515,3566.20499377718
BEN.4.2.6_1,2485.7388909190317,1837.0791353707225
BEN.4.3.1_1,5046.473104507784,4454.358380877739
BEN.4.3.2_1,999.0969346490563,912.6945923622916
BEN.4.3.3_1,1212.111924761417,1068.3032545412289
BEN.4.3.4_1,2205.885886851011,1950.3541106219393
BEN.4.3.5_1,2330.566588456023,2089.0745919101364
BEN.4.4.1_1,1759.6912878447881,1408.569575934316
BEN.4.4.2_1,2531.585687597127,2055.2358736318697
BEN.4.4.3_1,3336.2288030156897,2696.1775645326165
BEN.4.4.4_1,3644.8206452869904,2945.289514088163
BEN.4.4.5_1,1775.3678676016186,1434.765803315593
BEN.4.4.6_1,867.988155856787,679.4739867949016
BEN.4.4.7_1,2110.718915031472,1679.956683626362
BEN.4.5.1_1,10906.164290813842,12188.218677531031
BEN.4.5.2_1,5306.24485858562,5971.530500549428
BEN.4.5.3_1,5911.911643286314,6651.650678193334
BEN.4.6.1_1,2752.644506516176,2050.970239290069
BEN.4.6.2_1,1458.892141746073,1075.9727033544991
BEN.4.6.3_1,697.6308546290676,514.5096826221429
BEN.4.6.4_1,1075.0659456028661,792.8718135562596
BEN.4.6.5_1,1286.0713453975377,948.4903849886912
BEN.4.6.6_1,1193.0047164360685,883.3048960872726
BEN.4.7.1_1,1930.8664100277658,1614.7008145612824
BEN.4.7.2_1,2193.1691878131787,1828.7301606692517
BEN.4.7.3_1,1812.291789171275,1508.4649378131417
BEN.4.7.4_1,3741.040105053958,3105.4804666998334
BEN.4.8.1_1,2978.902946588572,2420.3353994397544
BEN.4.8.2_1,6348.132399047121,5148.72519302438
BEN.4.8.3_1,1511.681602244751,1226.816645918173
BEN.4.8.4_1,5528.834087998725,4642.593438666007
BEN.4.8.5_1,2256.1378344428304,1934.8420715126333
