ADM3_PCODE,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
TG020201,106.0,377.0,264.8644467970692,270.52865064695004,60.469200648520314,11.032562255859375,103.75218963623047,40.09788152618162,38.76026471092768,12.238596197687006,30,188,82.80139645089737,84.0,31.869474866311148
TG020202,54.0,220.0,156.61792979227442,164.0,40.66667039494634,14.963790893554688,52.09446716308594,28.116587683217983,27.084495544433594,8.135699643374998,20,76,36.4719149519353,35.0,11.263732083212986
TG020203,0.0,398.0,191.68248415458197,188.41571194762682,94.22814345379338,0.0,168.90000915527344,34.287820722158905,22.5207474955346,32.81906577811504,0,180,40.12824763740178,29.0,35.10908709491366
TG020204,26.0,203.0,129.94865221987314,131.0,41.78631370770138,18.02569580078125,68.71168518066406,36.43911492436432,35.32153830657134,8.650121599143645,38,120,66.57729915433404,65.0,13.888141063208566
TG020205,72.0,295.0,191.5343689320389,198.0,49.44744621324583,12.524054527282715,96.09464263916016,46.45613612331706,43.75330996306046,14.634960140020665,34,135,72.2570873786408,69.0,19.154968923679313
TG020206,0.0,213.0,100.4496778471678,97.0,50.848632105075446,0.0,26.467506408691406,10.167435107042097,9.49951171875,5.432330925271178,6,75,28.619533051593915,24.0,15.856761584024484
TG020207,87.0,228.0,157.2123629738983,162.0,31.735686876180345,8.607072830200195,31.719127655029297,17.58043424365066,17.830385208129883,4.891288490932158,18,54,34.59138737946414,35.0,8.767246148662931
TG020208,148.0,228.0,187.60893970893972,186.0,19.951710410371348,14.30202865600586,31.321603775024414,19.171643775019966,18.77240982175247,2.7519251493856105,32,62,44.43175675675675,44.0,7.723709705185543
TG020209,48.0,185.0,120.63404263618806,123.0,28.190046347383298,4.628258228302002,87.69497680664062,23.366030580706212,17.77119069597895,17.010489437876426,27,121,56.01700766515181,52.99999999999999,17.376831602883215
TG020210,10.0,209.0,126.80278720996033,138.0,47.19700656645283,1.8306841850280762,42.08662414550781,15.454257729651237,15.631420690465024,6.9586253850441935,18,74,45.90981890209393,45.0,14.459749079231754
TG020301,0.0,92.0,50.336659736659755,53.0,18.368551434130488,0.0,40.876827239990234,18.788376191880086,14.858219795059743,9.908206930960716,56,118,78.82938322938324,76.0,12.89692612542034
